linha_base,direcao_base,total_pontos_linha_base,linha_compartilhada,direcao_compartilhada,num_pontos_compartilhados,percentual_cobertura,pontos_compartilhados
315,Ida,64,665,Volta,4,6.25,"Fiocruz, José Moreira Pequeno, Parque Vitória, Refinaria de Manguinhos"
315,Ida,64,SVA665,Volta,4,6.25,"Fiocruz, José Moreira Pequeno, Parque Vitória, Refinaria de Manguinhos"
315,Ida,64,SVB665,Volta,4,6.25,"Fiocruz, José Moreira Pequeno, Parque Vitória, Refinaria de Manguinhos"
315,Ida,64,SN457,Volta,2,3.12,"BRS 1,3,5: Central, BRS 3,5: Praça Onze"
315,Ida,64,906,Volta,7,10.94,"Arlindo Janot - Saída 9, Bela, Fiocruz, José Moreira Pequeno, Parque Vitória, Refinaria de Manguinhos, Vila do João - Pista Lateral"
315,Ida,64,913,Volta,2,3.12,"Arlindo Janot - Saída 9, Democráticos - Saída 7"
315,Ida,64,SP485,Ida,1,1.56,"BRS 1,3,5: Cidade Nova"
315,Ida,64,338,Volta,17,26.56,"Almirante Mariath (Portão 24) :: Linhas Municipais, Arlindo Janot - Saída 9, Bela, BRS 1,3,5: Central, BRS 1,3,5: Cidade Nova, BRS 3,5: Praça Onze, Democráticos - Saída 7, Fiocruz, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central, José Moreira Pequeno, Monsenhor Manuel Gomes, Parque Vitória, Péter Lund, Refinaria de Manguinhos, Ricardo Machado, Vila do João - Pista Lateral"
315,Ida,64,343,Volta,17,26.56,"Almirante Mariath (Portão 24) :: Linhas Municipais, Arlindo Janot - Saída 9, Bela, BRS 1,3,5: Central, BRS 1,3,5: Cidade Nova, BRS 3,5: Praça Onze, Democráticos - Saída 7, Fiocruz, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central, José Moreira Pequeno, Monsenhor Manuel Gomes, Parque Vitória, Péter Lund, Refinaria de Manguinhos, Ricardo Machado, Vila do João - Pista Lateral"
315,Ida,64,348,Volta,17,26.56,"Almirante Mariath (Portão 24) :: Linhas Municipais, Arlindo Janot - Saída 9, Bela, BRS 1,3,5: Central, BRS 1,3,5: Cidade Nova, BRS 3,5: Praça Onze, Democráticos - Saída 7, Fiocruz, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central, José Moreira Pequeno, Monsenhor Manuel Gomes, Parque Vitória, Péter Lund, Refinaria de Manguinhos, Ricardo Machado, Vila do João - Pista Lateral"
315,Ida,64,380,Volta,17,26.56,"Almirante Mariath (Portão 24) :: Linhas Municipais, Arlindo Janot - Saída 9, Bela, BRS 1,3,5: Central, BRS 1,3,5: Cidade Nova, BRS 3,5: Praça Onze, Democráticos - Saída 7, Fiocruz, Geógrafo Milton Santos :: Linhas Municipais via Av. Brasil, GRES Unidos da Tijuca :: Pista Central, José Moreira Pequeno, Monsenhor Manuel Gomes, Parque Vitória, Péter Lund, Refinaria de Manguinhos, Ricardo Machado, Vila do João - Pista Lateral"
315,Ida,64,565,Ida,6,9.38,"Aeroporto de Jacarepaguá, Estação Aeroporto de Jacarepaguá, Mercado do Produtor, Shopping Aerotown, Subprefeitura da Barra, Vila Pan-Americana"
